ID	INDIVIDUAL_ID	PLATE_ID	WELL_ID	DATE	REGION	REEF	ZONING	Ysite	Xsite	Yind	Xind	SPECIES	LIFE_STAGE	FL	TL
Plec03_G07	T25219	Plec_03	G07	21/01/08	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9730667	-23.20111667	P. maculatus	Adult	350	372
Plec05_C05	T25307	Plec_05	C05	21/01/08	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.9872667	-23.19268333	P. maculatus	Adult	350	365
Plec05_D05	T15858	Plec_05	D05	26/11/07	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.9858333	-23.19195	P. maculatus	Adult	350	375
Plec03_C01	T26519	Plec_03	C01	26/01/08	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9735333	-23.1981	P. maculatus	Adult	353	370
Plec31_H06	P.Ad-01469	Plec_31	H06	20/05/12	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	-23.1873	150.9774	P. maculatus	Adult	355	370
Plec03_D11	T25328	Plec_03	D11	21/01/08	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9731667	-23.20161667	P. maculatus	Adult	355	375
Plec05_B04	T26905	Plec_05	B04	30/01/08	Keppel Islands	Middle Is	MPZ	-23.17	150.92	150.9238	-23.16731667	P. maculatus	Adult	356	374
Plec05_H10	T32146	Plec_05	H10	31/01/08	Keppel Islands	Middle Is	MPZ	-23.17	150.92	150.9138333	-23.16388333	P. maculatus	Adult	356	375
Plec30_G03	P.Ad-01316	Plec_30	G03	19/05/12	Keppel Islands	40 Acre Paddock	HPZ	-23.15	150.89	-23.1503	150.8891	P. maculatus	Adult	359	382
Plec01_B03	T33590	Plec_01	B03	3/02/08	Keppel Islands	Middle Is	MPZ	-23.17	150.92	150.92175	-23.16963333	P. maculatus	Adult	359	378
Plec05_G05	T01859	Plec_05	G05	28/11/07	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.9794333	-23.18803333	P. maculatus	Adult	359	381
Plec01_B06	T33157	Plec_01	B06	31/01/08	Keppel Islands	Middle Is	MPZ	-23.17	150.92	150.9267667	-23.16898333	P. maculatus	Adult	360	372
Plec01_C05	T25622	Plec_01	C05	23/01/08	Keppel Islands	Middle Is	MPZ	-23.17	150.92	150.91965	-23.16953333	P. maculatus	Adult	360	382
Plec01_C10	T33241	Plec_01	C10	1/02/08	Keppel Islands	Middle Is	MPZ	-23.17	150.92	150.9164667	-23.1666	P. maculatus	Adult	360	378
Plec01_F11	T01647	Plec_01	F11	27/11/07	Keppel Islands	Middle Is	MPZ	-23.17	150.92	150.9221667	-23.16733333	P. maculatus	Adult	360	380
Plec03_E03	T19285	Plec_03	E03	30/11/07	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9729167	-23.19521667	P. maculatus	Adult	360	380
Plec03_E04	T16564	Plec_03	E04	30/11/07	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9739667	-23.19733333	P. maculatus	Adult	360	380
Plec03_G03	T26782	Plec_03	G03	30/01/08	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9735	-23.19731667	P. maculatus	Adult	360	379
Plec02_G07	T25969	Plec_02	G07	25/01/08	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.97265	-23.201	P. maculatus	Adult	364	385
Plec01_B01	T33243	Plec_01	B01	1/02/08	Keppel Islands	Middle Is	MPZ	-23.17	150.92	150.9164667	-23.1666	P. maculatus	Adult	365	385
Plec05_E06	T25163	Plec_05	E06	22/01/08	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.9689667	-23.18705	P. maculatus	Adult	365	390
Plec03_G05	T01896	Plec_03	G05	29/11/07	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9733167	-23.20023333	P. maculatus	Adult	366	391
Plec01_A12	T33255	Plec_01	A12	3/02/08	Keppel Islands	Middle Is	MPZ	-23.17	150.92	150.91735	-23.16711667	P. maculatus	Adult	367	398
Plec05_C02	T19400	Plec_05	C02	21/01/08	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.9862	-23.19205	P. maculatus	Adult	367	387
Plec01_C07	T26892	Plec_01	C07	30/01/08	Keppel Islands	Middle Is	MPZ	-23.17	150.92	150.9230667	-23.16601667	P. maculatus	Adult	368	380
Plec03_E12	T33109	Plec_03	E12	31/01/08	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9731833	-23.19668333	P. maculatus	Adult	370	390
Plec05_B02	T33337	Plec_05	B02	1/02/08	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.98035	-23.18868333	P. maculatus	Adult	370	390
Plec05_D10	T26407	Plec_05	D10	27/01/08	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.9835167	-23.19041667	P. maculatus	Adult	370	396
Plec05_H06	T25276	Plec_05	H06	22/01/08	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9733	-23.19955	P. maculatus	Adult	370	391
Plec06_H04	T16027	Plec_06	H04	28/11/07	Keppel Islands	Middle Is	MPZ	-23.17	150.92	150.9128833	-23.16476667	P. maculatus	Adult	370	390
Plec05_B06	T26310	Plec_05	B06	27/01/08	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.98495	-23.19158333	P. maculatus	Adult	371	395
Plec30_F11	P.Ad-01312	Plec_30	F11	19/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.1982	150.9736	P. maculatus	Adult	372	397
Plec02_G04	T26531	Plec_02	G04	28/01/08	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9233833	-23.20173333	P. maculatus	Adult	372	395
Plec02_H02	T16213	Plec_02	H02	29/11/07	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9733167	-23.20023333	P. maculatus	Adult	372	396
Plec05_D06	T01905	Plec_05	D06	25/11/07	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.99455	-23.19158333	P. maculatus	Adult	372	393
Plec01_G04	T00841	Plec_01	G04	21/11/07	Keppel Islands	Middle Is	MPZ	-23.17	150.92	NA	NA	P. maculatus	Adult	373	391
Plec02_G09	T16033	Plec_02	G09	29/11/07	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9724	-23.20105	P. maculatus	Adult	375	390
Plec03_A01	T16039	Plec_03	A01	29/11/07	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9724	-23.20105	P. maculatus	Adult	375	390
Plec03_E08	T16182	Plec_03	E08	28/11/07	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9735333	-23.19766667	P. maculatus	Adult	375	392
Plec05_B10	T25593	Plec_05	B10	27/01/08	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.9742	-23.18803333	P. maculatus	Adult	375	392
Plec06_G09	T16556	Plec_06	G09	29/11/07	Keppel Islands	Middle Is	MPZ	-23.17	150.92	150.9735333	-23.19978333	P. maculatus	Adult	375	395
Plec01_A05	T25132	Plec_01	A05	25/01/08	Keppel Islands	Middle Is	MPZ	-23.17	150.92	150.9084333	-23.1589	P. maculatus	Adult	376	401
Plec03_F07	T26433	Plec_03	F07	28/01/08	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9735333	-23.19713333	P. maculatus	Adult	376	396
Plec05_E04	T25987	Plec_05	E04	27/01/08	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.9736	-23.18661667	P. maculatus	Adult	376	395
Plec05_G02	T00732	Plec_05	G02	22/11/07	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.9816667	-23.18998333	P. maculatus	Adult	377	392
Plec30_G01	P.Ad-01314	Plec_30	G01	19/05/12	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	-23.1982	150.9736	P. maculatus	Adult	380	402
Plec03_C12	T26771	Plec_03	C12	29/01/08	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9730833	-23.20151667	P. maculatus	Adult	380	410
Plec03_H06	T26331	Plec_03	H06	28/01/08	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9734167	-23.20221667	P. maculatus	Adult	380	398
Plec05_H08	T26771	Plec_05	H08	29/01/08	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9730833	-23.20151667	P. maculatus	Adult	380	410
Plec05_A05	T33670	Plec_05	A05	2/02/08	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.9811	-23.1886	P. maculatus	Adult	381	404
Plec02_H09	T15789	Plec_02	H09	28/11/07	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9731667	-23.20151667	P. maculatus	Adult	384	401
Plec03_A05	T26563	Plec_03	A05	27/01/08	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.9731167	-23.20228333	P. maculatus	Adult	385	411
Plec03_G04	T26629	Plec_03	G04	28/01/08	Keppel Islands	Halfway Green	MPZ	-23.2	150.97	150.97285	-23.19743333	P. maculatus	Adult	385	408
Plec05_B01	T26311	Plec_05	B01	27/01/08	Keppel Islands	Clam Bay	MPZ	-23.19	150.98	150.98495	-23.19158333	P. maculatus	Adult	386	419
